id,url,title,content,push_content,region,type,source,ctype,date,time,author,discussion_count,share_count,comment_count,like_count,dislike_count,positive_pushs,neutual_pushs,negative_pushs,sentiment,crawled_at,hit_rate
ee873624-eeb1-5900-b38e-b4f5635451d9,https://www.ptt.cc/bbs/equal_change/M.1691858084.A.95D.html,[其他] 雙北 柯文哲募款小物 帆布袋/胸章/貼紙,產品類別：其他名    稱：柯文哲2018募款小物 Keep it possible 帆布袋、胸章、貼紙購買價錢：0(捐款2000元改變成真組合換得)物品狀況：全新購買地點：柯文哲2018年競選網站(已關閉)欲換物品：cama摩卡咖啡XL一杯(125元)欲換地點：雙北cama門市照片：,,台灣,ptt 政治,批踢踢實業坊,equal_change,2023-08-13,00:34:40,acergame5,,0,0,0,0,0,0,0,中立,,
0aa3a55b-f7bd-5e14-8799-b02c2ae31a6c,https://www.nownews.com/news/6226345,全台通路激省／全聯衛生紙「買1送1」再現折50元　超商咖啡買1送1,"本週各大通路優惠精選出爐！隨著中元節普渡即將到來，量販祭出超商優惠，其中全聯8月每週六日，全店日用品單筆滿499元現折50元，也就是非食品類商品都可享優惠，像是民眾最愛的衛生紙買1送1優惠，只要單筆買滿499元就可以加碼折50元；全家則是同樣有現煮飲品買1送1優惠，品項包括特大杯美式、大杯紅茶，美式單杯原價60元，搭配自帶杯扣5元優惠，最低只要25元開喝。				            	🟡全聯．即起至8月27日春風抽取式衛生紙／100抽x8包，原價176元買1送1，平均1袋88元8月每週六日，全店日用品單筆滿499元現折50元（日用品泛指非食品類商品）三好米星川米（二等米）1.5kg／包，原價169元買1送1cama café 尋豆師 精選咖啡豆，中焙堅果、中淺焙花香、深焙焦糖454g／袋，原價486元買1送1🟡好市多．即起至8月17日石安牧場柔滑布丁8入，原價299元，特價239元紅龍冷凍牛肉捲6入，原價389元，特價309元農心辛拉麵（黑）／箱，原價349元，特價259元旺旺嚴選米菓，原價319元，特價254元🟡家樂福．即起至8月30日舒潔棉柔舒適抽取式衛生（寶可夢版）100抽x12包，原價324元買1送1美吾髮 草本主義洗髮精系列，原價259元買1送1台鹽護牙齦牙膏，全亮白、益牙周、抗敏感，原價135元買1送1🟡大潤發．即起至8月17日8/12、8/13、8/19、8/20推出消費單筆滿2,000元，獲得9折現金抵用券優惠家樂氏玉米片，蜂蜜、香蕉，原價158元買1送1樂事組合包，136公克／袋，特價55元🟡愛買．即起至8月30日卡滋番薯脆片雙併組合箱，原價159元特價139元倒翁蔥燒牛肉風味碗麵，6入原價299元整箱買83折，特價249元🟡7-11．即起至8月15日加倍佳棒棒糖買2送1，原價14元／件，平均單支不到10元Niseko 38%濃情脆皮巧克力雪糕，原價43元，4件特價109元，平均27元、相當於6.3折自白機玻尿酸涼感防曬乳液（原價160元）、水感玻尿酸防曬凝露（原價330元），同品項買1送1🟡全家．即起至8月13日特大杯美式買1送1（原價60元）大杯仙女紅茶買1送1（原價40元）義美巧克力脆片雪糕買1送1（原價40元／支）萄王康普茶葡柚蜜香買1送1（原價35元／瓶）味丹竹炭水買2送2（原價20元／瓶）🟡萊爾富．即起至8月13日（結帳憑LINE官帳條碼享優惠）樂法海洋深層小氣泡水買1送1，原價29元／瓶生活泡沫紅茶，第2件5元，原價15元／瓶究柔奶油風味厚片吐司，單件49元，原價58元／包",,台灣,新聞,NOWnews 今日新聞,生活,2023-08-12,12:56:35,,,0,0,0,0,0,0,0,中立,,
30b9dcfe-b57f-5e49-89e0-6aa1bdc106e0,https://www.allnews.tw/news/48443,唐氏基金會主要「資」源來自禮盒販售 唐寶寶化身星球大使賣力促銷 各界感動力挺,【本報記者黃蕙蘭/台北報導】您是否還在猶豫，月圓人團圓的時節中，該以什麼樣的贈禮對重要的人聊表心意？ 下個月就是中秋節，各式中秋禮盒也紛紛上市，佳節送禮，不只是時節問候，更是一份情感的傳遞，唐氏症基金會今年特地以唐氏症畫家楊茹婷畫作作為概念呈現，以《與星球共舞》為主題，推出多款中秋經典限量禮盒，希望透過唐寶寶的畫作，讓消費者送禮兼做公益一舉兩得。禮盒販售是唐氏症基金會最主要的基金收入來源，除了提供唐氏症寶寶們及身心弱勢族群工作機會之外，也能藉由此訓練他們靠一己之力謀生，減輕家人的經濟負擔。昨天(8/9)唐氏基金會在明倫工坊舉辦中秋禮盒發佈記者會，現場除了邀請公益大使謝欣穎出席代言外，更有化身為星球寶寶的唐氏症青年們一起帶領大家遨遊星際，唐寶寶以特殊的造型裝扮，展現與生俱來的開朗特質，並將他們的心聲與笑容帶給大家，也邀請大眾以行動來支持，無論自用送禮或響應送愛活動，希望讓每次購買皆成為鼓勵唐氏症青年認真與努力的動力。目前唐氏症基金會在全台共有十處小型作業所﹐四家庇護商店﹐讓從特殊學校畢業後的唐氏症與心智障礙青年能有繼續學習與工作、實現小小夢想的機會﹐唐氏症基金會在禮盒呈現上除了以唐氏症畫家楊茹婷畫作呈現，在主打禮盒盒形設計以「夢想繪本」為主軸，傳達在浩瀚的宇宙，有無數大小、光亮不一的星球，造就了宇宙的精彩，我們的世界如同宇宙的縮影，唐寶寶跟我們都是社會的一份子，雖然有些差異，但也因為這些差異，這個世界才會多元，才是美好。 茹婷小檔案:1984年出生，九年半前進入唐氏症基金會大安工作坊學習。剛出生時，醫師提醒媽媽，這孩子有可能活不過三歲，現在39歲的茹婷在藝術創作中揮灑出亮麗生命奇蹟。茹婷從小展露繪畫天份，專注、自信、自主、大膽的創造力，讓她的畫風充滿自我風格。此次唐氏症基金會有四款中秋節公益禮盒以茹婷畫作作為禮盒主視覺呈現。唐氏症基金會董事長林正俠表示，基金會為了訓練唐氏症及身心障礙青年能夠參與社會、自立生活、減輕家人照顧負擔，因此成立「愛不囉嗦庇護商店」，透過販售他們親手製作及與優選特色商家合作的商品，也讓他們靠自己的力量來得到大眾的支持與認同。唐氏症基金會最重要的收入來源正是中秋禮盒銷售，冀望在中秋團圓的時分大家能品嘗到這些美味精緻月餅與特色美味，就是給予這些身心障礙青年們最好的鼓勵與支持。林正俠說：受到很多人、很多企業和團體的幫忙﹐一路支持唐氏症基金會走過25年﹐除了購買節慶禮盒﹐捐贈物資、捐款、捐車…都是對基金會相關服務的重要支持﹐牙醫師公會也於記者會中捐贈一台早療服務車﹐支持唐氏症的服務能夠「哪裡有需要「服務就到哪裡去」。多年來基金會也透過集結社會大眾認購中秋禮盒，再由唐氏症基金會將這一份祝福送給全台28所特教學校，以及各地需要被幫助的弱勢、身心障礙家庭；希望號召民眾以399元認購唐氏症基金會中秋送愛禮盒，支持唐氏症基金會中秋送愛活動。每年中秋節也特別感謝相關企業夥伴與團體透過志工參與，協助禮盒包裝出貨，助人力短絀的唐氏症基金會一臂之力，今年教育部青年發展署北基青年志工中心也特別召募青年志工協助禮盒包裝。此次唐氏症基金會中秋星球系列禮盒，從翻閱型錄的同時，就彷彿帶著消費者走入唐寶寶的繪本世界。主打款雙層的「月光森林-雙層繪本禮盒」，是以描繪海獺家族彼此扶持的概念發想，搭配中秋概念設計和特殊印刷元素點綴，象徵完成夢想所需要的團結力量。禮盒一共有7種口味，除了有造型廣式月餅、應景的柚子茶還有唐寶寶手作雪球餅乾，內部也有相當可愛的宇宙星球設計，是兼具愛心公益和奢華質感的送禮首選。另一款象徵勇氣的「無畏星空-綜合酥禮盒」，則是以勇敢的獨角獸在宇宙中做自己的設計思惟來展開，就如同唐寶寶與心智障礙者們透過學習訓練也能在庇護工場與不同的職場領域貢獻一己之力；此款禮盒不僅擁有正能量，搭配的三款熱銷月餅：蛋黃酥、金月酥及芋頭流沙酥，精緻內餡和綿密口感完美搭配。除了庇護青年手作烘焙產品﹐今年唐氏症基金會並與一之軒、cama咖啡及星球爆米花等知名業者推出中秋聯名公益禮盒﹐讓消費者無論送禮、自用皆有更多選擇。 唐氏症基金會中秋禮盒，每盒399元起，一盒月餅可以品嘗到3至7款精選口味，除了8月30日前訂購享有早鳥優惠外，企業訂購也額外享有大宗優惠，訂購請洽愛不囉嗦ABRAZO唐氏症基金會購物網，訂購連結：,,台灣,新聞,台灣民眾電子報,焦點,2023-08-10,12:55:00,,,0,0,0,0,0,0,0,正向,,
e008304e-9bb0-586c-90fd-3421e59207c6,https://www.ptt.cc/bbs/TaichungBun/M.1691637148.A.335.html,[閒聊] 咖啡為主的咖啡店？,版上搜尋咖啡大部分都是有賣甜點為主的咖啡廳想找那種以咖啡為主的之前常會喝精誠路那邊的決哥，外帶方便又便宜，不過前幾個月已經收了路易莎和星巴克也不習慣，他們的美式喝起來都有點單調的感覺現在的話主要喝Tamp和cama另外推薦一下親美旁邊的Charm也不錯對於咖啡沒有到非常要求，不要很水又沒味道就好-----Sent from JPTT on my iPhone,,台灣,ptt 政治,批踢踢實業坊,TaichungBun,2023-08-10,11:12:26,wayne880805,,0,74,48,0,0,0,0,中立,,
193f7cc7-afbe-51c1-9145-daece95b1cf4,https://www.facebook.com/100064279496030/posts/664483162370994/,,全支付超商也能用！😙👍「這家」筆筆回饋10%cama cafe'/瓦城最高20%https://pse.is/57bvsa,,台灣,綠營側翼,臉書,Money101.com.tw,2023-08-10,09:30:02,Money101.com.tw,,0,1,3,0,0,0,0,正向,,
cc310f03-749c-5d12-93b4-5ff4dfa5d246,https://www.ettoday.net/news/20230810/2557520.htm,全台通路「激省優惠」一次看！美式買10送10、洗髮精買1送1,▲家樂福指定商品下殺買1送1。（示意圖／記者謝婷婷攝）生活中心／綜合報導省錢時間到！《ETtoday新聞雲》幫整理全台各大超市、量販店、超商通路等最新優惠，像是洗髮精、麥片等通通下殺買1送1，愛喝咖啡的民眾也有福了，2大超商分別祭出限時美式買10送10、特濃咖啡任選2杯88元等優惠，趕快把握便宜買。大潤發◎味味A排骨雞湯麵超值回饋包(80g*12包)優惠：特價138元期限：即起～8月24日◎泰山不飽和調合油1.5公升優惠：市價225元，售價112元期限：即起～8月24日全聯◎桂格大燕麥片 嚴選薄片 1200g/盒優惠：單盒299元，買1送1，平均一盒149.5元期限：即起～8月24日◎cama café 尋豆師 精選咖啡豆 中焙堅果/中淺焙花香/深焙焦糖 454g/袋優惠：單袋特價486元，買1送1，平均一袋243元期限：即起～8月24日▲全聯推出指定麥片買1送1。（示意圖／記者林育綾攝）美廉社◎香米/台東米/花蓮米（二等米）1公斤優惠：市價140-150元/包，優惠價第2件75折，第3件6折期限：即起～9月5日◎統一滿漢大餐碗麵 蔥燒牛肉/蔥燒豬肉/珍味牛肉優惠：市價59元，特價任選2碗100元期限：即起～9月5日家樂福◎台鹽絲易康植萃健髮洗髮精（柔順輕盈、控油抗屑、蓬鬆豐盈）／500ml優惠：498元買1送1期限：即起～8月30日◎曼秀雷敦激活保濕醒膚凝露／145ml優惠：320元買1送1期限：即起～8月30日愛買◎奇動能量飲系列235ml*4罐優惠：156元買1送1期限：即起～8/30◎原萃茶品系列580ml*4瓶優惠：特價69元，平均每瓶17.25元期限：即起～8/30好市多◎科克蘭鮮蝦酪梨壽司組合（21入）優惠：原價499元，特價449元，現省50元期限：即起～8月13日◎金頂鹼性3號／4號電池（40入）優惠：原價435元，特價335元，現省100元期限：即起～8月13日7-11◎特大杯美式優惠：買10送10（OPEN POINT行動隨時取限定）期限：即起～8月14日▲7-11推出哈根達斯雪糕／迷你杯任選買3送2、買10送10。（圖／7-11提供）◎哈根達斯優惠：雪糕／迷你杯任選買3送2、買10送10期限：即起～8月15日全家◎指定甜點半價吃優惠：購買中杯以上咖啡品項加購指定飲品、隨手包享「甜點半價」優惠期限：即起～8月22日◎百種指定小寶特飲料優惠：同品項同價位可享「第2件6折」、「買3送1」優惠期限：即起～9月5日OK mart◎大杯莊園級美式／拿鐵優惠：每周一持悠遊卡享「同品項第2杯半價」優惠，且不限冰熱期限：長期優惠◎輕食組合優惠：買淺草宿六聯名飯糰或六扇門聯名涼麵任1項，「加10元爽喝原萃日式綠茶580ml」1瓶期限：即起～8月23日萊爾富◎大杯特濃美式／拿鐵優惠：任選2杯88元期限：即起～8月22日,,台灣,新聞,Ettoday新聞雲,ETtoday新聞雲,2023-08-10,06:34:00,,,0,0,0,0,0,0,0,正向,,
a84a9126-c90b-533b-a0dd-7edc6c104880,https://life.tw/?app=view&no=2056340,以「唐氏症畫家」為題推中秋限量禮盒　期待唐寶寶才能被看到,下個月就是中秋節，各式中秋禮盒也紛紛上市。唐氏症基金會今年特地以唐氏症畫家楊茹婷畫作作為概念呈現，以《與星球共舞》為主題，推出多款中秋經典限量禮盒，希望透過唐寶寶的畫作，在兵家必爭的中秋送禮市場被看見。記者會現場除了邀請公益大使謝欣穎出席代言外，更有化身為星球寶寶的唐氏症青年們一起帶領大家遨遊星際，唐寶寶以特殊的造型裝扮，展現與生俱來的開朗特質，並將他們的心聲與笑容帶給大家，也邀請大眾以行動來支持，無論自用送禮或響應送愛活動，希望讓每次購買皆成為鼓勵唐氏症青年認真與努力的動力。此次唐氏症基金會中秋星球系列禮盒，從翻閱型錄的同時，就彷彿帶著消費者走入唐寶寶的繪本世界。主打款雙層的「月光森林-雙層繪本禮盒」，是以描繪海獺家族彼此扶持的概念發想，搭配中秋概念設計和特殊印刷元素點綴，象徵完成夢想所需要的團結力量。▲ 禮盒一共有7種口味。（圖：唐氏症基金會） 禮盒一共有7種口味，除了有造型廣式月餅、應景的柚子茶還有唐寶寶手作雪球餅乾，內部也有相當可愛的宇宙星球設計，是兼具愛心公益和奢華質感的送禮首選。另一款象徵勇氣的「無畏星空-綜合酥禮盒」，則是以勇敢的獨角獸在宇宙中做自己的設計思惟來展開，就如同唐寶寶與心智障礙者們透過學習訓練也能在庇護工場與不同的職場領域貢獻一己之力；此款禮盒不僅擁有正能量，搭配的三款熱銷月餅：蛋黃酥、金月酥及芋頭流沙酥，精緻內餡和綿密口感完美搭配。除了庇護青年手作烘焙產品﹐今年唐氏症基金會並與一之軒、cama咖啡及星球爆米花等知名業者推出中秋聯名公益禮盒﹐讓消費者無論送禮、自用皆有更多選擇。▲ 此次唐氏症基金會中秋星球系列禮盒，從翻閱型錄的同時，彷彿帶著消費者走入唐寶寶的繪本世界。（圖：唐氏症基金會） 唐氏症基金會董事長林正俠表示，基金會為了訓練唐氏症及身心障礙青年能夠參與社會、自立生活、減輕家人照顧負擔，因此成立「愛不囉嗦庇護商店」，透過販售他們親手製作及與優選特色商家合作的商品，也讓他們靠自己的力量來得到大眾的支持與認同。唐氏症基金會最重要的收入來源正是中秋禮盒銷售，冀望在中秋團圓的時分大家能品嘗到這些美味精緻月餅與特色美味，就是給予這些身心障礙青年們最好的鼓勵與支持。林正俠說：受到很多人、很多企業和團體的幫忙﹐一路支持唐氏症基金會走過25年﹐除了購買節慶禮盒﹐捐贈物資、捐款、捐車…都是對基金會相關服務的重要支持﹐牙醫師公會也於記者會中捐贈一台早療服務車﹐支持唐氏症的服務能夠「哪裡有需要「服務就到哪裡去」。多年來基金會也透過集結社會大眾認購中秋禮盒，再由唐氏症基金會將這一份祝福送給全台28所特教學校，以及各地需要被幫助的弱勢、身心障礙家庭；希望號召民眾以399元認購唐氏症基金會中秋送愛禮盒，支持唐氏症基金會中秋送愛活動。每年中秋節也特別感謝相關企業夥伴與團體透過志工參與，協助禮盒包裝出貨，助人力短絀的唐氏症基金會一臂之力，今年教育部青年發展署北基青年志工中心也特別召募青年志工協助禮盒包裝。目前唐氏症基金會在全台共有十處小型作業所﹐四家庇護商店﹐讓從特殊學校畢業後的唐氏症與心智障礙青年能有繼續學習與工作、實現小小夢想的機會﹐唐氏症基金會在禮盒呈現上除了以唐氏症畫家楊茹婷畫作呈現，在主打禮盒盒形設計以「夢想繪本」為主軸，傳達在浩瀚的宇宙，有無數大小、光亮不一的星球，造就了宇宙的精彩，我們的世界如同宇宙的縮影，唐寶寶跟我們都是社會的一份子，雖然有些差異，但也因為這些差異，這個世界才會多元，才是美好。▲ 唐氏症基金會年度公益大使的謝欣穎。（圖：唐氏症基金會） 唐氏症基金會中秋禮盒，每盒399元起，一盒月餅可以品嘗到3至7款精選口味，除了8月30日前訂購享有早鳥優惠外，企業訂購也額外享有大宗優惠。,,台灣,新聞,LIFE生活網,生活情報,2023-08-09,23:15:00,,,0,0,0,0,0,0,0,正向,,
8528880e-1318-5337-a13c-a17aa7cb7651,https://www.facebook.com/100044554174213/posts/257957090379172/,,職場上關係越疏離，就越需要對人與對事的敏感度。看懂他人的底層觀點與需求。揪出別人看不到的細節與面向，採取別人還沒採取的行動，就能創造更多職場與人生的可能性。cama café、KKday、Pinkoi、Blocto、鮮乳坊、珍煮丹、再睡5分鐘等知名企業的領導力教練都是賴婷婷，卓越的團隊打造與領導能力，也讓她獲頒《經理人月刊》年度MVP經理人獎。繼暢銷書《複利領導》之後，賴婷婷再次汲取二十多年的親身經驗，分享如何鍛鍊對自己、對人、對事的敏感度，包括如何培養獨到的見解與邏輯、覺察並同理他人、完整且立體地看見事實等。領導敏感度對個人與企業來說都是極重要的能力，無論天生能力如何，只要你想要或需要，就能透過後天的刻意練習來培養。本書不只收錄領導與帶人必備的工具和技巧，同時也教你透過探索自己，打造自己想要的人生劇本。閱讀人專題讀書會《敏感度領導》直播時間：8月9日（三）晚上9點直播專訪：賴婷婷看懂他人的底層觀點與需求就能創造職場與人生的可能性https://www.books.com.tw/products/0010961549,,台灣,綠營側翼,臉書,閱讀人,2023-08-09,20:59:08,閱讀人,,27,194,159,0,0,0,0,正向,,
f40c56b1-1e66-5afe-aaca-b14e9b3a49f0,https://n.yam.com/Article/20230809457529,2023銀河宇宙中秋美味獻禮 唐寶寶與星球共舞,【威傳媒記者蘇松濤報導】　　下個月就是中秋節，各式中秋禮盒也紛紛上市。唐氏症基金會今年特地以唐氏症畫家楊茹婷畫作作為概念呈現，以《與星球共舞》為主題，推出多款中秋經典限量禮盒，希望透過唐寶寶的畫作，在兵家必爭的中秋送禮市場被看見。記者會現場除了邀請公益大使謝欣穎出席代言外，更有化身為星球寶寶的唐氏症青年們一起帶領大家遨遊星際，唐寶寶以特殊的造型裝扮，展現與生俱來的開朗特質，並將他們的心聲與笑容帶給大家，也邀請大眾以行動來支持，無論自用送禮或響應送愛活動，希望讓每次購買皆成為鼓勵唐氏症青年認真與努力的動力。　　目前唐氏症基金會在全台共有十處小型作業所﹐四家庇護商店﹐讓從特殊學校畢業後的唐氏症與心智障礙青年能有繼續學習與工作、實現小小夢想的機會﹐唐氏症基金會在禮盒呈現上除了以唐氏症畫家楊茹婷畫作呈現，在主打禮盒盒形設計以「夢想繪本」為主軸，傳達在浩瀚的宇宙，有無數大小、光亮不一的星球，造就了宇宙的精彩，我們的世界如同宇宙的縮影，唐寶寶跟我們都是社會的一份子，雖然有些差異，但也因為這些差異，這個世界才會多元，才是美好。　　此次唐氏症基金會中秋星球系列禮盒，從翻閱型錄的同時，就彷彿帶著消費者走入唐寶寶的繪本世界。主打款雙層的「月光森林-雙層繪本禮盒」，是以描繪海獺家族彼此扶持的概念發想，搭配中秋概念設計和特殊印刷元素點綴，象徵完成夢想所需要的團結力量。禮盒一共有7種口味，除了有造型廣式月餅、應景的柚子茶還有唐寶寶手作雪球餅乾，內部也有相當可愛的宇宙星球設計，是兼具愛心公益和奢華質感的送禮首選。另一款象徵勇氣的「無畏星空-綜合酥禮盒」，則是以勇敢的獨角獸在宇宙中做自己的設計思惟來展開，就如同唐寶寶與心智障礙者們透過學習訓練也能在庇護工場與不同的職場領域貢獻一己之力；此款禮盒不僅擁有正能量，搭配的三款熱銷月餅：蛋黃酥、金月酥及芋頭流沙酥，精緻內餡和綿密口感完美搭配。除了庇護青年手作烘焙產品﹐今年唐氏症基金會並與一之軒、cama咖啡及星球爆米花等知名業者推出中秋聯名公益禮盒﹐讓消費者無論送禮、自用皆有更多選擇。　　唐氏症基金會董事長林正俠表示，基金會為了訓練唐氏症及身心障礙青年能夠參與社會、自立生活、減輕家人照顧負擔，因此成立「愛不囉嗦庇護商店」，透過販售他們親手製作及與優選特色商家合作的商品，也讓他們靠自己的力量來得到大眾的支持與認同。唐氏症基金會最重要的收入來源正是中秋禮盒銷售，冀望在中秋團圓的時分大家能品嘗到這些美味精緻月餅與特色美味，就是給予這些身心障礙青年們最好的鼓勵與支持。林正俠說：受到很多人、很多企業和團體的幫忙﹐一路支持唐氏症基金會走過25年﹐除了購買節慶禮盒﹐捐贈物資、捐款、捐車…都是對基金會相關服務的重要支持﹐牙醫師公會也於記者會中捐贈一台早療服務車﹐支持唐氏症的服務能夠「哪裡有需要「服務就到哪裡去」。　　多年來基金會也透過集結社會大眾認購中秋禮盒，再由唐氏症基金會將這一份祝福送給全台28所特教學校，以及各地需要被幫助的弱勢、身心障礙家庭；希望號召民眾以399元認購唐氏症基金會中秋送愛禮盒，支持唐氏症基金會中秋送愛活動。每年中秋節也特別感謝相關企業夥伴與團體透過志工參與，協助禮盒包裝出貨，助人力短絀的唐氏症基金會一臂之力，今年教育部青年發展署北基青年志工中心也特別召募青年志工協助禮盒包裝。　　唐氏症基金會中秋禮盒，每盒399元起，一盒月餅可以品嘗到3至7款精選口味，除了8月30日前訂購享有早鳥優惠外，企業訂購也額外享有大宗優惠，訂購請洽愛不囉嗦ABRAZO唐氏症基金會購物網，訂購連結： 圖片提供：唐氏症基金會(資料來源：WinNews-威傳媒),,台灣,新聞,yam蕃薯藤,即時新聞,2023-08-09,19:59:00,,,0,0,0,0,0,0,0,正向,,
7f04f4a0-1034-52f0-ab71-b769d847b41e,https://tnews.cc/022/NewsCon524068.htm,2023銀河宇宙中秋美味獻禮  唐寶...,2023銀河宇宙中秋美味獻禮 唐寶寶與星球共舞      下個月就是中秋節，各式中秋禮盒也紛紛上市。唐氏症基金會今年特地以唐氏症畫家楊茹婷畫作作為概念呈現，以《與星球共舞》為主題，推出多款中秋經典限量禮盒，希望透過唐寶寶的畫作，在兵家必爭的中秋送禮市場被看見。記者會現場除了邀請公益大使謝欣穎出席代言外，更有化身為星球寶寶的唐氏症青年們一起帶領大家遨遊星際，唐寶寶以特殊的造型裝扮，展現與生俱來的開朗特質，並將他們的心聲與笑容帶給大家，也邀請大眾以行動來支持，無論自用送禮或響應送愛活動，希望讓每次購買皆成為鼓勵唐氏症青年認真與努力的動力。   目前唐氏症基金會在全台共有十處小型作業所﹐四家庇護商店﹐讓從特殊學校畢業後的唐氏症與心智障礙青年能有繼續學習與工作、實現小小夢想的機會﹐唐氏症基金會在禮盒呈現上除了以唐氏症畫家楊茹婷畫作呈現，在主打禮盒盒形設計以「夢想繪本」為主軸，傳達在浩瀚的宇宙，有無數大小、光亮不一的星球，造就了宇宙的精彩，我們的世界如同宇宙的縮影，唐寶寶跟我們都是社會的一份子，雖然有些差異，但也因為這些差異，這個世界才會多元，才是美好。   此次唐氏症基金會中秋星球系列禮盒，從翻閱型錄的同時，就彷彿帶著消費者走入唐寶寶的繪本世界。主打款雙層的「月光森林-雙層繪本禮盒」，是以描繪海獺家族彼此扶持的概念發想，搭配中秋概念設計和特殊印刷元素點綴，象徵完成夢想所需要的團結力量。禮盒一共有7種口味，除了有造型廣式月餅、應景的柚子茶還有唐寶寶手作雪球餅乾，內部也有相當可愛的宇宙星球設計，是兼具愛心公益和奢華質感的送禮首選。另一款象徵勇氣的「無畏星空-綜合酥禮盒」，則是以勇敢的獨角獸在宇宙中做自己的設計思惟來展開，就如同唐寶寶與心智障礙者們透過學習訓練也能在庇護工場與不同的職場領域貢獻一己之力；此款禮盒不僅擁有正能量，搭配的三款熱銷月餅：蛋黃酥、金月酥及芋頭流沙酥，精緻內餡和綿密口感完美搭配。除了庇護青年手作烘焙產品﹐今年唐氏症基金會並與一之軒、cama咖啡及星球爆米花等知名業者推出中秋聯名公益禮盒﹐讓消費者無論送禮、自用皆有更多選擇。   唐氏症基金會董事長林正俠表示，基金會為了訓練唐氏症及身心障礙青年能夠參與社會、自立生活、減輕家人照顧負擔，因此成立「愛不囉嗦庇護商店」，透過販售他們親手製作及與優選特色商家合作的商品，也讓他們靠自己的力量來得到大眾的支持與認同。唐氏症基金會最重要的收入來源正是中秋禮盒銷售，冀望在中秋團圓的時分大家能品嘗到這些美味精緻月餅與特色美味，就是給予這些身心障礙青年們最好的鼓勵與支持。林正俠說：受到很多人、很多企業和團體的幫忙﹐一路支持唐氏症基金會走過25年﹐除了購買節慶禮盒﹐捐贈物資、捐款、捐車…都是對基金會相關服務的重要支持﹐牙醫師公會也於記者會中捐贈一台早療服務車﹐支持唐氏症的服務能夠「哪裡有需要「服務就到哪裡去」。   多年來基金會也透過集結社會大眾認購中秋禮盒，再由唐氏症基金會將這一份祝福送給全台28所特教學校，以及各地需要被幫助的弱勢、身心障礙家庭；希望號召民眾以399元認購唐氏症基金會中秋送愛禮盒，支持唐氏症基金會中秋送愛活動。每年中秋節也特別感謝相關企業夥伴與團體透過志工參與，協助禮盒包裝出貨，助人力短絀的唐氏症基金會一臂之力，今年教育部青年發展署北基青年志工中心也特別召募青年志工協助禮盒包裝。   唐氏症基金會中秋禮盒，每盒399元起，一盒月餅可以品嘗到3至7款精選口味，除了8月30日前訂購享有早鳥優惠外，企業訂購也額外享有大宗優惠，訂購請洽愛不囉嗦ABRAZO唐氏症基金會購物網，訂購連結：    個案故事 ■茹婷 1984年出生，九年半前進入唐氏症基金會大安工作坊學習。 剛出生時，醫師提醒媽媽，這孩子有可能活不過三歲，現在39歲的茹婷在藝術創作中揮灑出亮麗生命奇蹟。茹婷從小展露繪畫天份，專注、自信、自主、大膽的創造力，讓她的畫風充滿自我風格。影響茹婷創作風格最大的，是她於英國參與國際游泳比賽時，有機會到大英博物館參觀所看到一系列震撼壯觀的埃及文物。在她的作品當中，經常可見類似的裝飾圖騰，以及正面人身、側面頭像的創作風格。她對於構圖有獨到的思維，透過幾何形狀的組合以及線條的流動，巧妙將所有主配角的位置安置的十分穩妥，並構成華麗而豐富的畫面。此次唐氏症基金會有四款中秋節公益禮盒以茹婷畫作作為禮盒主視覺呈現。 ■信恆 25歲的信恆目前是愛不囉嗦長庚庇護商店的員工，因為親和力夠、嗓門大，每次有展售擺攤機會，信恆都是當家「叫賣一哥」。   在進入長庚庇護商店前，信恆先是在唐氏症基金會林口小作所學習，之後短暫從事過大型賣場及飯店的清潔工作，兩年多前進入長庚庇護商店，每天的例行工作包含：檢查過期品、打掃、陳列、迎賓及帶客結帳，信恆總是按部就班地完成，加上他的熱情和笑容，經常是基金會拍攝公益影告的人選之一，有需要的時候他也能自行搭公車、捷運支援其他據點銷售工作，信恆很喜歡目前的工作，賺到的錢會交給媽媽，作為旅遊基金和家人一起出國玩。,,台灣,新聞,台灣新聞網,新北市新聞,2023-08-09,19:42:00,,,0,0,0,0,0,0,0,正向,,
